adjective;Frame_realisation;Frame_frequency
inespéré;SUJ:NP,P-OBJ:PP[pour];1
discret;SUJ:NP;4
élogieux;SUJ:NP;1
volubile;SUJ:NP;1
rusé;SUJ:NP;1
productiviste;SUJ:NP;2
déchu;SUJ:NP;1
virtuel;SUJ:NP;2
symptomatique;SUJ:NP,P-OBJ:PP[de];1
rectificatif;SUJ:NP;2
solidaire;SUJ:NP,P-OBJ:PP[dans],cl:me/OBJ;1
solidaire;SUJ:NP;4
solidaire;SUJ:NP,P-OBJ:PP[avec];1
amer;SUJ:NP;7
attendu;SUJ:NP;3
fabuleux;SUJ:NP;2
déplorable;SUJ:NP;1
catalan;SUJ:NP;2
génial;SUJ:NP;1
inexorable;SUJ:NP;5
colossal;SUJ:NP;2
inenvisageable;SUJ:NP;1
juif;SUJ:NP;1
considérable;SUJ:NP;20
sous-traitante;SUJ:NP;1
scandinave;SUJ:NP;1
mouvant;SUJ:NP;2
autoritaire;SUJ:NP;2
lyonnais;SUJ:NP;7
simple;SUJ:NP;43
conjoint;SUJ:NP;4
mineur;SUJ:NP;1
anodin;SUJ:NP;2
moderne;SUJ:NP;11
compatible;SUJ:NP;2
compatible;SUJ:NP,P-OBJ:PP[avec];3
turbulent;SUJ:NP;1
caduc;SUJ:NP;1
récalcitrant;SUJ:NP;1
immortel;SUJ:NP;1
sociologique;SUJ:NP;1
ciblé;SUJ:NP;2
conquérant;SUJ:NP;1
retrait;SUJ:NP;1
manufacturier;SUJ:NP;6
technique;SUJ:NP;43
technique;SUJ:NP,P-OBJ:PP[loc];1
bavarois;SUJ:NP;1
aztèque;SUJ:NP;1
répétée;SUJ:NP;1
temporaire;SUJ:NP;11
flagrant;SUJ:NP;4
pressant;SUJ:NP;2
partial;SUJ:NP;3
préoccupant;SUJ:NP;8
préoccupant;SUJ:NP,P-OBJ:PP[pour];1
vacant;SUJ:NP;3
pensif;SUJ:NP;1
minoritaire;SUJ:NP;11
donateur;SUJ:NP,P-OBJ:PP[de];1
direct;SUJ:NP;22
gazier;SUJ:NP;2
rose;SUJ:NP;2
opulent;SUJ:NP;1
capital;SUJ:NP;7
mignon;SUJ:NP;1
diurne;SUJ:NP;2
adjoint;SUJ:NP;10
maussade;SUJ:NP;1
irrésistible;SUJ:NP;4
réuni;SUJ:NP;2
varié;SUJ:NP;5
fiable;SUJ:NP;3
difficile;SUJ:NP,P-OBJ:VPinf[à];9
difficile;SUJ:VPinf[de];15
difficile;SUJ:VPinf[de],P-OBJ:PP[pour];1
difficile;SUJ:NP,P-OBJ:PP[de];1
difficile;SUJ:NP,P-OBJ:VPinf[de];2
difficile;SUJ:NP;58
difficile;SUJ:VPinf[de],P-OBJ:PP[à];1
difficile;SUJ:NP,P-OBJ:PP[à];1
difficile;SUJ:NP,P-OBJ:PP[pour];1
consensuel;SUJ:NP;2
entreprenant;SUJ:NP;1
irréaliste;SUJ:NP;4
scolaire;SUJ:NP;3
concomitant;SUJ:NP;1
notionnel;SUJ:NP;2
délabré;SUJ:NP;1
élu;SUJ:NP;2
rondelet;SUJ:NP;1
nocif;SUJ:NP;2
loti;SUJ:NP;1
extrême;SUJ:NP;5
croisé;SUJ:NP;5
inique;SUJ:NP;1
contrarié;SUJ:NP;1
sacré;SUJ:NP;4
archaïque;SUJ:NP;2
brûlant;SUJ:NP;3
tropical;SUJ:NP;3
patrimonial;SUJ:NP;4
grec;SUJ:NP;4
israélien;SUJ:NP;3
cathodique;SUJ:NP;2
opposé;SUJ:NP;2
réputé;SUJ:NP;2
réputé;SUJ:NP,P-OBJ:PP[pour];2
alsacien;SUJ:NP;2
miniature;SUJ:NP;5
délégatif;SUJ:NP;1
éberlué;SUJ:NP;1
communautaire;SUJ:NP;22
défavorisé;SUJ:NP;6
familier;SUJ:NP;2
silencieux;SUJ:NP;2
inévitable;SUJ:NP;10
inévitable;SUJ:SsubI[que];2
à part entière;SUJ:NP;1
nature;SUJ:NP;2
polyvalent;SUJ:NP;1
amorphe;SUJ:NP;1
extracommunautaire;SUJ:NP;1
ouvrier;SUJ:NP;12
habile;SUJ:NP;3
italien;SUJ:NP;98
irrécouvrable;SUJ:NP;1
injuste;SUJ:NP;1
fervent;SUJ:NP;1
exemplaire;SUJ:NP;5
exemplaire;SUJ:NP,P-OBJ:PP[de];1
uni;SUJ:NP,P-OBJ:PP[par];1
offshore;SUJ:NP;2
acceptable;SUJ:NP;7
acceptable;SUJ:VPinf[de];1
fédéraliste;SUJ:NP;1
angoissant;SUJ:NP;1
modeste;SUJ:NP;19
passé;SUJ:NP;30
girondin;SUJ:NP;1
réticent;SUJ:NP;3
réticent;SUJ:NP,P-OBJ:PP[à];1
bête;SUJ:NP;2
vieil;SUJ:NP;5
étroit;SUJ:NP;16
étroit;SUJ:NP,P-OBJ:VPinf[pour];1
inapte;SUJ:NP;1
suffisant;SUJ:NP;16
suffisant;SUJ:NP,P-OBJ:VPinf[pour];5
reculé;SUJ:NP;2
policé;SUJ:NP;1
petit;SUJ:NP;115
parlementaire;SUJ:NP;4
drastique;SUJ:NP;4
conséquent;SUJ:NP;3
nominal;SUJ:NP;13
abordable;SUJ:NP;3
exotique;SUJ:NP;1
relationnel;SUJ:NP;1
interférométrique;SUJ:NP;2
inépuisable;SUJ:NP;1
constructeur;SUJ:NP;1
saint;SUJ:NP;2
rentable;SUJ:NP;10
laconique;SUJ:NP;2
transparent;SUJ:NP;2
approfondi;SUJ:NP;1
formel;SUJ:NP;3
antique;SUJ:NP;1
bilatéral;SUJ:NP;10
tenu;SUJ:NP;2
diabolique;SUJ:NP;2
bilingue;SUJ:NP;2
agréable;SUJ:NP;2
compensateur;SUJ:NP;1
ponctuel;SUJ:NP;2
mouvementé;SUJ:NP;1
angoisser;SUJ:NP;1
triste;SUJ:NP;4
triste;SUJ:NP,P-OBJ:PP[pour];1
atlantique;SUJ:NP;2
recommandable;SUJ:NP;1
étudiant;SUJ:NP;1
clandestin;SUJ:NP;2
métallique;SUJ:NP;7
spécifique;SUJ:NP;16
convaincu;SUJ:NP;1
complexe;SUJ:NP;10
intéressé;SUJ:NP;2
corporatiste;SUJ:NP;1
spéculatif;SUJ:NP;11
maigre;SUJ:NP;6
intouché;SUJ:NP;1
existant;SUJ:NP;11
existant;SUJ:NP,P-OBJ:PP[entre];1
indirect;SUJ:NP;5
lourd;SUJ:NP,P-OBJ:VPinf[à];2
lourd;SUJ:NP;27
lourd;SUJ:NP,P-OBJ:PP[pour];1
lourd;SUJ:NP,P-OBJ:PP[de];2
versé;SUJ:NP;1
malheureux;SUJ:NP;7
malheureux;SUJ:NP,P-OBJ:PP[de];1
naturel;SUJ:NP;17
réciproque;SUJ:NP;7
cuisant;SUJ:NP;1
voyant;SUJ:NP;2
privé;SUJ:NP;63
supportable;SUJ:NP;5
flottant;SUJ:NP;1
tumultueux;SUJ:NP;2
vague;SUJ:NP;1
épars;SUJ:NP,P-OBJ:PP[de];1
céréalier;SUJ:NP;4
résidentiel;SUJ:NP;3
inapplicable;SUJ:NP;1
récupérable;SUJ:NP;1
coloré;SUJ:NP;1
discutable;SUJ:NP;1
innovant;SUJ:NP;1
tragique;SUJ:NP;1
lapidaire;SUJ:NP;1
hollywoodien;SUJ:NP;1
ouvrable;SUJ:NP;1
linéaire;SUJ:NP;1
pérenne;SUJ:NP;1
inconscient;SUJ:NP;1
droit;SUJ:NP;1
approximatif;SUJ:NP;2
douanier;SUJ:NP;3
socialiste;SUJ:NP;18
réglé;SUJ:NP;1
savoureux;SUJ:NP;1
éclatant;SUJ:NP;1
nombreuses;SUJ:NP;1
administratif;SUJ:NP;17
démultiplicateur;SUJ:NP;1
humanitaire;SUJ:NP;3
exclusif;SUJ:NP;5
serré;SUJ:NP;1
consolidé;SUJ:NP;4
large;SUJ:NP;28
large;SUJ:NP,P-OBJ:PP[de];1
sophistiqué;SUJ:NP;2
décisif;SUJ:NP;4
pastoral;SUJ:NP;1
concentré;SUJ:NP;1
mensuel;SUJ:NP;24
prévisible;SUJ:NP;4
prévisible;SUJ:NP,P-OBJ:PP[en];1
local;SUJ:NP;37
indéniable;SUJ:NP;2
indéniable;SUJ:SsubI[que];1
recevable;SUJ:NP;1
pénalisant;SUJ:NP;1
inconstant;SUJ:NP;1
friand;SUJ:NP;2
vétuste;SUJ:NP;1
meilleures;SUJ:NP;1
concerné;SUJ:NP;1
sympathique;SUJ:NP;2
malsain;SUJ:NP;2
étanches;SUJ:NP;1
associé;SUJ:NP;4
occasionnel;SUJ:NP;1
problématique;SUJ:NP;3
ivoirien;SUJ:NP;2
magnifique;SUJ:NP;1
adapté;SUJ:NP;3
adapté;SUJ:NP,P-OBJ:PP[à];1
vert;SUJ:NP;8
rapide;SUJ:NP;45
mort;SUJ:NP;6
mort;SUJ:NP,P-OBJ:PP[sous];1
mort;SUJ:NP,P-OBJ:PP[de];1
accessoire;SUJ:NP,P-OBJ:PP[à];1
courtois;SUJ:NP;3
criant;SUJ:NP;1
passager;SUJ:NP;2
réglementaire;SUJ:NP;4
mobile;SUJ:NP;6
beau;SUJ:NP;23
atteint;SUJ:NP;2
partisan;SUJ:NP;2
mûr;SUJ:NP;1
assimilable;SUJ:NP;4
psychologique;SUJ:NP;3
budgétaire;SUJ:NP;23
fluide;SUJ:NP;1
contestable;SUJ:NP;1
raisonnable;SUJ:NP;7
légitime;SUJ:NP;4
compréhensible;SUJ:NP;1
compréhensible;SUJ:SsubS[que];1
mal;SUJ:NP;3
vénérable;SUJ:NP;5
banal;SUJ:NP;6
envisageable;SUJ:NP;1
sud-africain;SUJ:NP;5
perfectionné;SUJ:NP;1
inexpiable;SUJ:NP;2
new-yorkai;SUJ:NP;1
frileux;SUJ:NP;1
clignotant;SUJ:NP;1
calculé;SUJ:NP;2
équitable;SUJ:NP;3
intégré;SUJ:NP;5
titulaire;SUJ:NP;2
titulaire;SUJ:NP,P-OBJ:PP[de];2
parisien;SUJ:NP;20
extravagant;SUJ:NP;1
insouciant;SUJ:NP;1
alarmant;SUJ:NP;1
rêveur;SUJ:NP;1
engagé;SUJ:NP;3
déséquilibré;SUJ:NP;2
civique;SUJ:NP;1
fortuit;SUJ:NP;3
indistinct;SUJ:NP;1
vrai;SUJ:NP;30
vrai;SUJ:SsubI[que];4
vrai;SUJ:Ssub[que],P-OBJ:PP[en];1
périphérique;SUJ:NP;4
vif;SUJ:NP;29
vigilant;SUJ:NP;3
vigilant;SUJ:NP,P-OBJ:PP[sur];1
fondé;SUJ:NP;2
fondé;SUJ:NP,P-OBJ:PP[sur];1
vil;SUJ:NP;2
spatial;SUJ:NP;2
nostalgique;SUJ:NP;2
effréné;SUJ:NP;1
comparatif;SUJ:NP;4
comparatif;SUJ:NP,P-OBJ:PP[avec];1
éteint;SUJ:NP;1
cadet;SUJ:NP;1
massif;SUJ:NP;12
record;SUJ:NP;6
étanche;SUJ:NP;1
épuisé;SUJ:NP;1
fructueux;SUJ:NP;3
gratuit;SUJ:NP;4
primesautier;SUJ:NP;1
grandissant;SUJ:NP;9
sourd;SUJ:NP;3
arlésien;SUJ:NP;1
bienvenu;SUJ:NP;3
apparent;SUJ:NP;5
intégral;SUJ:NP;1
qualitatif;SUJ:NP;5
éphémère;SUJ:NP;5
foncier;SUJ:NP;6
automatisé;SUJ:NP;1
cumulé;SUJ:NP;1
répandu;SUJ:NP;2
téléphonique;SUJ:NP;5
électoraliste;SUJ:NP;1
groggy;SUJ:NP;1
groggy;SUJ:NP,P-OBJ:PP[après];1
alpin;SUJ:NP;2
flash;SUJ:NP;3
naïf;SUJ:NP;2
écrit;SUJ:NP;2
abondant;SUJ:NP;3
imprécis;SUJ:NP;2
désarmé;SUJ:NP;1
laitier;SUJ:NP;1
culturel;SUJ:NP;16
qatari;SUJ:NP;1
loyal;SUJ:NP,P-OBJ:PP[envers];1
loyal;SUJ:NP;1
méchant;SUJ:NP;1
superlatif;SUJ:NP;1
européen;SUJ:NP;198
fondamental;SUJ:NP;9
bâlois;SUJ:NP;1
artisanal;SUJ:NP;4
démocrate;SUJ:NP;5
organique;SUJ:NP;2
contradictoire;SUJ:NP;7
éveillé;SUJ:NP;1
implacable;SUJ:NP;2
centenaire;SUJ:NP;1
exportable;SUJ:NP;1
fougueux;SUJ:NP;1
est;SUJ:NP;1
entier;SUJ:NP;21
tacite;SUJ:NP;1
haussier;SUJ:NP;1
issu;SUJ:NP;2
tranquille;SUJ:NP;6
courageux;SUJ:NP;5
égyptien;SUJ:NP;2
danois;SUJ:NP;29
en voie de développement;SUJ:NP;3
francilien;SUJ:NP;1
automatique;SUJ:NP;8
mauvais;SUJ:NP;53
mauvais;SUJ:NP,P-OBJ:PP[à];1
intérieur;SUJ:NP;8
néerlandais;SUJ:NP;23
vulnérable;SUJ:NP;1
vulnérable;SUJ:NP,P-OBJ:PP[à];1
perturbateur;SUJ:NP;1
bienveillant;SUJ:NP;3
ancien;SUJ:NP;109
ancien;SUJ:NP,P-OBJ:PP[à];1
concerté;SUJ:NP;3
lisible;SUJ:NP;1
provocateur;SUJ:NP;2
laïc;SUJ:NP;2
dudit;SUJ:NP;1
souhaitable;SUJ:NP;6
féodal;SUJ:NP;2
écologiste;SUJ:NP;1
optimiste;SUJ:NP;18
mutualiste;SUJ:NP;1
façonnier;SUJ:NP;1
expansif;SUJ:NP;1
hollandais;SUJ:NP;2
commode;SUJ:NP;1
maritime;SUJ:NP;8
pur et simple;SUJ:NP;1
russe;SUJ:NP;26
papetier;SUJ:NP;5
câblé;SUJ:NP;3
paritaire;SUJ:NP;4
constant;SUJ:NP;13
traumatisant;SUJ:NP;2
aisé;SUJ:NP,P-OBJ:VPinf[à];1
aisé;SUJ:NP;6
étranger;SUJ:NP;96
étranger;SUJ:NP,P-OBJ:PP[à];4
étranges;SUJ:NP;2
mutuel;SUJ:NP;4
controversé;SUJ:NP;2
répétitif;SUJ:NP;2
ample;SUJ:NP;3
indéterminé;SUJ:NP;4
acoustique;SUJ:NP;1
pacifique;SUJ:NP;1
terrestre;SUJ:NP;3
prégnant;SUJ:NP;1
trompeur;SUJ:NP;4
trompeur;SUJ:NP,P-OBJ:PP[pour];1
placé;SUJ:NP;4
breton;SUJ:NP;2
naturiste;SUJ:NP;1
législatif;SUJ:NP;7
optimal;SUJ:NP;1
hétérogène;SUJ:NP;1
mal à l'aise;SUJ:NP,P-OBJ:VPinf[de];1
mal à l'aise;SUJ:NP;1
individuel;SUJ:NP;30
collectif;SUJ:NP;25
chimique;SUJ:NP;5
planétaire;SUJ:NP;3
cessible;SUJ:NP;2
prospère;SUJ:NP;6
bon;SUJ:NP;134
bon;SUJ:NP,P-OBJ:PP[pour];1
meurtrier;SUJ:NP;5
interdit;SUJ:VPinf[de];1
interdit;SUJ:NP,P-OBJ:PP[en];1
fauché;SUJ:NP;1
surveillé;SUJ:NP;1
fondateur;SUJ:NP;2
moindre;SUJ:NP;40
provisoire;SUJ:NP;17
né;SUJ:NP;1
pur;SUJ:NP;7
austral;SUJ:NP;2
résiduel;SUJ:NP;2
aigu;SUJ:NP;2
thématique;SUJ:NP;5
cursif;SUJ:NP;1
probant;SUJ:NP;1
récent;SUJ:NP;46
mousse;SUJ:NP;1
absurde;SUJ:NP;1
absurde;SUJ:VPinf[de];2
révolutionnaire;SUJ:NP;1
prestigieux;SUJ:NP;11
futur;SUJ:NP;35
aquatique;SUJ:NP;1
managérial;SUJ:NP;1
électoral;SUJ:NP;3
éminent;SUJ:NP;2
désinflationnistes;SUJ:NP;1
significatif;SUJ:NP;15
hôtelier;SUJ:NP;5
fier;SUJ:NP,P-OBJ:VPinf[de];2
fier;SUJ:NP,P-OBJ:PP[de];1
content;SUJ:NP,P-OBJ:VPinf[de];2
content;SUJ:NP;1
gros;SUJ:NP;27
gros;SUJ:NP,P-OBJ:PP[en];1
critiquable;SUJ:NP;1
surprenant;SUJ:NP;5
surprenant;SUJ:SsubI[que];1
ambitieux;SUJ:NP;10
inquiet;SUJ:NP;6
inquiet;SUJ:NP,P-OBJ:PP[pour];1
inquiet;SUJ:NP,P-OBJ:PP[de];3
passionnant;SUJ:NP;1
ébahi;SUJ:NP;2
suisse;SUJ:NP;13
promotionnel;SUJ:NP;4
vain;SUJ:NP;2
quelque;SUJ:NP;2
tendu;SUJ:NP;3
aride;SUJ:NP,P-OBJ:PP[pour];1
interventionniste;SUJ:NP;1
serein;SUJ:NP;2
conditionné;SUJ:NP;1
modéré;SUJ:NP;7
réceptif;SUJ:NP;1
anonyme;SUJ:NP;1
découvert;SUJ:NP;1
pareil;SUJ:NP;7
pareil;SUJ:NP,P-OBJ:PP[à];1
quart;SUJ:NP;1
instantané;SUJ:NP;2
affectif;SUJ:NP;2
sismique;SUJ:NP;1
insolvable;SUJ:NP;2
rocheux;SUJ:NP;1
nu;SUJ:NP;1
nu;SUJ:NP,P-OBJ:PP[dans];1
engageant;SUJ:NP;1
complet;SUJ:NP;19
immergé;SUJ:NP;1
singulier;SUJ:NP;1
graisseux;SUJ:NP;1
égal;SUJ:NP,P-OBJ:PP[à];8
égal;SUJ:NP;2
égal;SUJ:NP,P-OBJ:PP[sur];1
égal;SUJ:NP,P-OBJ:PP[devant];1
ardu;SUJ:NP;1
référendaire;SUJ:NP;1
républicain;SUJ:NP;5
menteur;SUJ:NP;1
cru;SUJ:NP;2
rocardien;SUJ:NP;1
canadien;SUJ:NP;19
provençal;SUJ:NP;1
conforme;SUJ:NP,P-OBJ:PP[à];8
conforme;SUJ:NP;1
mieux;SUJ:NP;4
fréquent;SUJ:NP;8
fréquent;SUJ:SsubI[que];1
fréquent;SUJ:SsubS[que];1
ambiant;SUJ:NP;7
high-tech;SUJ:NP;1
époustouflant;SUJ:NP;1
choquant;SUJ:NP;1
impopulaire;SUJ:NP;1
ultramince;SUJ:NP;1
interprofessionnel;SUJ:NP;2
thaïlandais;SUJ:NP;1
à même;SUJ:NP,P-OBJ:VPinf[de];2
saoudien;SUJ:NP;2
propriétaire;SUJ:NP;1
propriétaire;SUJ:NP,P-OBJ:PP[de];1
objectif;SUJ:NP;1
sidérurgique;SUJ:NP;1
insulaire;SUJ:NP;2
gelé;SUJ:NP;1
vivace;SUJ:NP;1
exécrable;SUJ:NP;2
de longue haleine;SUJ:NP;1
gauche;SUJ:NP;1
nord;SUJ:NP;1
logiciel;SUJ:NP;2
militaire;SUJ:NP;23
orgueilleux;SUJ:NP;1
extensif;SUJ:NP;1
resserré;SUJ:NP;1
retraité;SUJ:NP;3
junior;SUJ:NP;2
pédagogique;SUJ:NP;3
intangible;SUJ:NP;2
timide;SUJ:NP;4
personnel;SUJ:NP;12
furtif;SUJ:NP;2
prémonitoire;SUJ:NP;1
aberrant;SUJ:NP;1
insistant;SUJ:NP;1
humain;SUJ:NP;11
gênant;SUJ:NP;2
longue durée;SUJ:NP;1
inviolable;SUJ:NP;1
urbanistique;SUJ:NP;1
étendu;SUJ:NP;1
représentatif;SUJ:NP;4
représentatif;SUJ:NP,P-OBJ:PP[de];3
développé;SUJ:NP;10
loufoque;SUJ:NP;1
allemand;SUJ:NP;173
exagéré;SUJ:NP;1
escarpé;SUJ:NP;1
répressif;SUJ:NP;1
irresponsable;SUJ:NP;3
apaisant;SUJ:NP;1
supposé;SUJ:NP;1
illustré;SUJ:NP;1
éventuel;SUJ:NP;18
exponentiel;SUJ:NP;1
nul;SUJ:NP;7
irréversible;SUJ:NP;4
intercommunal;SUJ:NP;1
insupportable;SUJ:NP;2
insupportable;SUJ:NP,P-OBJ:PP[à];1
historique;SUJ:NP;23
iranien;SUJ:NP;1
pessimiste;SUJ:NP;6
visuel;SUJ:NP;1
pyrénéen;SUJ:NP;1
draconien;SUJ:NP;1
rendu;SUJ:NP,P-OBJ:PP[à];1
tenace;SUJ:NP;1
financier;SUJ:NP;123
charismatique;SUJ:NP;1
inimaginable;SUJ:NP;1
rapproché;SUJ:NP;1
dit;SUJ:NP;3
portuaire;SUJ:NP;7
similaire;SUJ:NP;4
similaire;SUJ:NP,P-OBJ:PP[à];1
dangereux;SUJ:NP,P-OBJ:VPinf[de];1
dangereux;SUJ:NP;16
dangereux;SUJ:NP,P-OBJ:PP[pour];3
invariable;SUJ:NP;1
helvétique;SUJ:NP;3
importateur;SUJ:NP,P-OBJ:PP[de];1
austro-hongrois;SUJ:NP;1
irréductible;SUJ:NP;1
électrique;SUJ:NP;6
spoliatoire;SUJ:NP;1
total;SUJ:NP;51
excédentaire;SUJ:NP,P-OBJ:PP[depuis];1
excédentaire;SUJ:NP;7
excédentaire;SUJ:NP,P-OBJ:PP[de];1
roulant;SUJ:NP;1
physique;SUJ:NP;3
créé;SUJ:NP;2
imposant;SUJ:NP;1
fixé;SUJ:NP,P-OBJ:PP[par];1
désordonné;SUJ:NP;3
tarifaire;SUJ:NP;2
bondé;SUJ:NP;1
orageux;SUJ:NP;1
bénéficiaire;SUJ:NP;8
bénéficiaire;SUJ:NP,P-OBJ:PP[de];2
succursaliste;SUJ:NP;1
hypocrite;SUJ:NP;1
ferreux;SUJ:NP;5
absent;SUJ:NP;2
absent;SUJ:NP,P-OBJ:PP[à];1
absent;SUJ:NP,P-OBJ:PP[de];1
juteux;SUJ:NP;1
superflu;SUJ:NP;1
superflu;SUJ:VPinf[de];1
dévastateur;SUJ:NP;1
persistant;SUJ:NP;7
choisi;SUJ:NP;1
généreux;SUJ:NP;1
tenable;SUJ:NP;1
départemental;SUJ:NP;10
simplifié;SUJ:NP;1
nippon;SUJ:NP;19
civil;SUJ:NP;10
sécurisant;SUJ:NP;3
plain;SUJ:NP;1
durable;SUJ:NP;23
idyllique;SUJ:NP;1
mou;SUJ:NP;2
indifférent;SUJ:NP;4
indifférent;SUJ:NP,P-OBJ:PP[à];1
rémunéré;SUJ:NP;3
autonome;SUJ:NP;7
infini;SUJ:NP;2
certain;SUJ:NP,OBJ:SsubI[que];1
certain;SUJ:NP;44
certain;SUJ:SsubI[que];1
hybride;SUJ:NP;2
déclassé;SUJ:NP;1
additionnel;SUJ:NP;1
insaisissable;SUJ:NP;1
fétiche;SUJ:NP;3
médiocre;SUJ:NP;11
stockeur;SUJ:NP;4
irrépressible;SUJ:NP;1
anarchique;SUJ:NP;4
analytique;SUJ:NP;1
slovaque;SUJ:NP;4
révélateur;SUJ:NP,P-OBJ:PP[de];3
marécageux;SUJ:NP;2
dommageable;SUJ:NP,P-OBJ:PP[à];1
artistique;SUJ:NP;6
mécanique;SUJ:NP;3
exploitable;SUJ:NP;1
monté;SUJ:NP;3
négligeable;SUJ:NP;7
inoxydable;SUJ:NP;1
fixe;SUJ:NP;15
louable;SUJ:NP;3
subventionné;SUJ:NP;1
sauvage;SUJ:NP;6
dissuasif;SUJ:NP;1
dissuasif;SUJ:NP,P-OBJ:PP[de];1
admis;SUJ:NP,P-OBJ:PP[à];2
minimum;SUJ:NP;10
venu;SUJ:NP;1
venu;SUJ:VPinf[de];1
prospectif;SUJ:NP;1
frais;SUJ:NP;10
lucide;SUJ:NP;1
léthargique;SUJ:NP;1
scientifique;SUJ:NP;8
sectaire;SUJ:NP;1
profond;SUJ:NP;20
jetable;SUJ:NP;1
tunisien;SUJ:NP;3
somalien;SUJ:NP;1
adulte;SUJ:NP;3
bleu;SUJ:NP;5
flou;SUJ:NP;4
plusieur;SUJ:NP;3
judicieux;SUJ:NP,P-OBJ:VPinf[de];1
judicieux;SUJ:NP;2
désaffecté;SUJ:NP;1
fragile;SUJ:NP;13
crédible;SUJ:NP;4
national;SUJ:NP;126
défini;SUJ:NP;1
revendicatif;SUJ:NP;1
conseillé;SUJ:NP;1
susceptible;SUJ:NP,P-OBJ:VPinf[de];18
susceptible;SUJ:NP;2
susceptible;SUJ:VPinf[de];1
litigieux;SUJ:NP;1
instable;SUJ:NP;1
nerveux;SUJ:NP;1
inférieur;SUJ:NP,P-OBJ:PP[à];36
inférieur;SUJ:NP;7
inférieur;SUJ:NP,P-OBJ:PP[de];2
savant;SUJ:NP;2
vibrant;SUJ:NP;1
étatique;SUJ:NP;1
luxuriant;SUJ:NP;1
anciens;SUJ:NP;1
irrespectueux;SUJ:NP,P-OBJ:PP[de];1
genevois;SUJ:NP;2
un;SUJ:NP;8
adhérent;SUJ:NP,P-OBJ:PP[de];1
londonien;SUJ:NP;6
bâti;SUJ:NP;1
strict;SUJ:NP;8
herbeux;SUJ:NP;1
trouvé;SUJ:NP;1
bureaucratique;SUJ:NP;3
irisé;SUJ:NP;1
lent;SUJ:NP;10
rude;SUJ:NP;7
indissoluble;SUJ:NP;1
infaillible;SUJ:NP;1
affiché;SUJ:NP;1
autoroutier;SUJ:NP;2
anglo-saxon;SUJ:NP;6
inhérent;SUJ:NP,P-OBJ:PP[à];2
primordial;SUJ:NP;3
quotidien;SUJ:NP;17
inaperçu;SUJ:NP;1
inopérant;SUJ:NP;1
cartésien;SUJ:NP;1
obsédant;SUJ:NP;1
judiciaire;SUJ:NP;7
vertueux;SUJ:NP;3
pesant;SUJ:NP;3
pesant;SUJ:NP,P-OBJ:PP[par];1
bananier;SUJ:NP;2
écologique;SUJ:NP;7
résiduaire;SUJ:NP;1
new-yorkaise;SUJ:NP;1
ultérieur;SUJ:NP;2
alarmiste;SUJ:NP;2
communal;SUJ:NP;2
doré;SUJ:NP;1
lucratif;SUJ:NP;6
lucratif;SUJ:NP,P-OBJ:PP[pour];1
tchèque;SUJ:NP;15
triple;SUJ:NP;5
principal;SUJ:NP;123
expéditif;SUJ:NP;1
intérimaire;SUJ:NP;2
salutaire;SUJ:NP;2
éclairant;SUJ:NP;2
à court terme;SUJ:NP;6
opaque;SUJ:NP;1
permanent;SUJ:NP;25
sombre;SUJ:NP;10
épais;SUJ:NP;1
évident;SUJ:NP;12
mobilier;SUJ:NP;4
communautaires;SUJ:NP;1
afro-asiatique;SUJ:NP;1
inattendu;SUJ:NP;4
homologue;SUJ:NP;2
incompétent;SUJ:NP;1
contigu;SUJ:NP;1
redistributif;SUJ:NP;1
espagnol;SUJ:NP;19
inégal;SUJ:NP;6
géopolitique;SUJ:NP;2
créancier;SUJ:NP;2
créancier;SUJ:NP,P-OBJ:PP[de];4
proche;SUJ:NP;11
proche;SUJ:NP,P-OBJ:PP[de];27
porteur;SUJ:NP;3
porteur;SUJ:NP,P-OBJ:PP[de];2
transporteur;SUJ:NP;1
remboursable;SUJ:NP;3
remboursable;SUJ:NP,P-OBJ:PP[en];1
franco-britannique;SUJ:NP;3
pyramidal;SUJ:NP;1
fou;SUJ:NP;4
fou;SUJ:NP,P-OBJ:PP[de];1
obligé;SUJ:NP;3
avancé;SUJ:NP;1
souterrain;SUJ:NP;3
occupé;SUJ:NP;2
occupé;SUJ:NP,P-OBJ:PP[dans];1
brutal;SUJ:NP;15
brutal;SUJ:NP,P-OBJ:PP[dans];1
préélectoral;SUJ:NP;1
paralysé;SUJ:NP;1
mordant;SUJ:NP;1
important;SUJ:NP,P-OBJ:PP[par];1
important;SUJ:NP;151
important;SUJ:VPinf[de];2
important;SUJ:NP,P-OBJ:PP[pour];1
coupable;SUJ:NP,P-OBJ:VPinf[de];1
coupable;SUJ:NP,P-OBJ:PP[de];1
disparate;SUJ:NP;2
court;SUJ:NP;38
immense;SUJ:NP;6
méthodologique;SUJ:NP;2
norvégien;SUJ:NP;1
respectable;SUJ:NP;1
grandiose;SUJ:NP;1
retentissant;SUJ:NP;1
excellent;SUJ:NP;10
vraisemblable;SUJ:NP;2
classique;SUJ:NP;12
biologique;SUJ:NP;1
rare;SUJ:NP,P-OBJ:VPinf[à];1
rare;SUJ:VPinf[de];1
rare;SUJ:NP,P-OBJ:PP[sur];1
rare;SUJ:NP;19
rare;SUJ:NP,P-OBJ:PP[à];1
rare;SUJ:NP,P-OBJ:PP[loc];1
reproducteur;SUJ:NP,P-OBJ:PP[de];1
