adjective;Frame_realisation;Frame_frequency
corruptible;SUJ:NP;1
pudique;SUJ:NP;2
éloigné;SUJ:NP;2
éloigné;SUJ:NP,P-OBJ:PP[de];2
tronqué;SUJ:NP;2
éventuelle;SUJ:NP;12
fugace;SUJ:NP;1
de faveur;SUJ:NP;1
clés en main;SUJ:NP;1
mondial;SUJ:NP;119
frontalier;SUJ:NP;1
quitte;SUJ:NP;3
minuscule;SUJ:NP;3
imputable;SUJ:NP;1
imputable;SUJ:NP,P-OBJ:PP[à];1
imputable;SUJ:NP,P-OBJ:PP[de];1
mobilisateur;SUJ:NP;1
blond;SUJ:NP;1
préjudiciable;SUJ:NP;1
préjudiciable;SUJ:NP,P-OBJ:PP[à];1
monétaire;SUJ:NP;90
arctique;SUJ:NP;1
réutilisable;SUJ:NP;1
formateur;SUJ:NP;2
vilain;SUJ:NP;1
préférable;SUJ:NP;1
préférable;SUJ:VPinf[de];2
fini;SUJ:NP;1
vigoureux;SUJ:NP;8
écossais;SUJ:NP;1
terne;SUJ:NP;2
irrégulier;SUJ:NP;1
luxueux;SUJ:NP;2
prédominant;SUJ:NP;1
tapageur;SUJ:NP;1
jeune;SUJ:NP;35
incongru;SUJ:NP;1
hésitant;SUJ:NP;1
alléchant;SUJ:NP;3
général;SUJ:NP;75
actif;SUJ:NP;19
affecté;SUJ:NP;2
fédéral;SUJ:NP;22
réjouissant;SUJ:NP;1
inflationniste;SUJ:NP;12
inflationniste;SUJ:NP,P-OBJ:PP[de];1
insoluble;SUJ:NP;1
confiturier;SUJ:NP;1
grandiloquent;SUJ:NP;1
volontariste;SUJ:NP;5
chiffré;SUJ:NP;3
chiffré;SUJ:NP,P-OBJ:PP[à];1
prévu;SUJ:NP;3
prévu;SUJ:NP,P-OBJ:PP[par];1
immédiat;SUJ:NP;13
saisonnier;SUJ:NP;5
pénible;SUJ:NP;1
oriental;SUJ:NP;10
somptuaire;SUJ:NP;1
hydraulique;SUJ:NP;1
manifeste;SUJ:NP;1
manifeste;SUJ:NP,P-OBJ:PP[chez];1
impuissant;SUJ:NP,P-OBJ:PP[à];1
analogue;SUJ:NP,P-OBJ:PP[à];2
analogue;SUJ:NP;1
glorieux;SUJ:NP;1
quelconque;SUJ:NP;2
stand-by;SUJ:NP;2
féroce;SUJ:NP;2
hypothécable;SUJ:NP;1
central;SUJ:NP;23
arrière;SUJ:NP;3
poupin;SUJ:NP;1
stratégique;SUJ:NP;18
voisin;SUJ:NP;14
voisin;SUJ:NP,P-OBJ:PP[de];5
incompatible;SUJ:NP;2
incompatible;SUJ:NP,P-OBJ:PP[avec];1
feutré;SUJ:NP;1
avoisinant;SUJ:NP;2
obstiné;SUJ:NP;1
désastreux;SUJ:NP;9
ami;SUJ:NP;1
peuplé;SUJ:NP;2
religieux;SUJ:NP;3
théorique;SUJ:NP;4
enthousiaste;SUJ:NP;1
magyar;SUJ:NP;1
rompre;SUJ:NP;1
sud;SUJ:NP;4
masculin;SUJ:NP;2
victime;SUJ:NP,P-OBJ:PP[de];5
récurrent;SUJ:NP;5
participatif;SUJ:NP;1
participatif;SUJ:NP,P-OBJ:PP[dans];1
unanimiste;SUJ:NP;1
portugais;SUJ:NP;5
économiste;SUJ:NP;2
tentaculaire;SUJ:NP;1
kilométrique;SUJ:NP;2
restant;SUJ:NP;5
participant;SUJ:NP;1
illusoire;SUJ:NP;2
démuni;SUJ:NP;2
nouveau;SUJ:NP,P-OBJ:VPinf[de];1
nouveau;SUJ:NP;499
sobre;SUJ:NP;1
diversifié;SUJ:NP;1
fonctionnel;SUJ:NP;2
destructeur;SUJ:NP,P-OBJ:PP[de];1
las;SUJ:NP,P-OBJ:PP[de];1
grandeur nature;SUJ:NP;1
pluraliste;SUJ:NP;1
chaotique;SUJ:NP;2
automobile;SUJ:NP;19
ultime;SUJ:NP;9
coté;SUJ:NP;2
coté;SUJ:NP,P-OBJ:PP[en];1
affairé;SUJ:NP;1
pressé;SUJ:NP;1
sous-japonais;SUJ:NP;1
marocain;SUJ:NP;2
minime;SUJ:NP;3
domestique;SUJ:NP;11
à long terme;SUJ:NP;6
prématuré;SUJ:NP;2
prématuré;SUJ:VPinf[de];1
influent;SUJ:NP;4
identifié;SUJ:NP;1
inexact;SUJ:NP,P-OBJ:VPinf[de];1
inexact;SUJ:NP;2
intransigeant;SUJ:NP;1
obligataire;SUJ:NP;7
défaillant;SUJ:NP;2
anormal;SUJ:NP;2
anormal;SUJ:VPinf[de];1
latéral;SUJ:NP;1
réunionnais;SUJ:NP;2
mexicain;SUJ:NP;16
mathématique;SUJ:NP;1
confus;SUJ:NP;3
impossible;SUJ:NP,P-OBJ:VPinf[à];3
impossible;SUJ:NP;7
impossible;SUJ:VPinf[de];2
social;SUJ:NP;145
socio-économiques;SUJ:NP;1
effectif;SUJ:NP;13
flamand;SUJ:NP;2
tentant;SUJ:NP;1
compétitif;SUJ:NP;23
utile;SUJ:NP;10
utile;SUJ:VPinf[de];2
utile;SUJ:NP,P-OBJ:PP[à];2
paradoxal;SUJ:NP;6
obsolète;SUJ:NP;1
pourfendeur;SUJ:NP,P-OBJ:PP[de];1
mode;SUJ:NP;1
appréciable;SUJ:NP;4
contemporain;SUJ:NP;2
portable;SUJ:NP;3
communiste;SUJ:NP;8
partagé;SUJ:NP;1
inutilisable;SUJ:NP;1
astronomique;SUJ:NP;1
accidentel;SUJ:NP;1
malin;SUJ:NP;2
âgé;SUJ:NP;4
âgé;SUJ:NP,P-OBJ:PP[de];6
algérien;SUJ:NP;3
variable;SUJ:NP;5
indésirable;SUJ:NP;1
indéfini;SUJ:NP;2
adopté;SUJ:NP;1
illimité;SUJ:NP;1
translucide;SUJ:NP;1
déterminé;SUJ:NP;3
véritable;SUJ:NP;64
véritable;SUJ:NP,P-OBJ:PP[de];1
aveuglant;SUJ:NP;1
cohérent;SUJ:NP;2
cohérent;SUJ:NP,P-OBJ:PP[avec];1
polonais;SUJ:NP;11
remarquable;SUJ:NP;7
trois cent mille;SUJ:NP;1
dépassé;SUJ:NP;2
douteux;SUJ:NP;3
éclair;SUJ:NP;1
suspect;SUJ:NP;2
