code,name,code_postal,latitude,longitude,score
57196,erching,57720,49.1145150394,7.26539475747,0
57203,evrange,57570,49.5018952512,6.19391605054,0
57204,failly,57640,49.1632324658,6.27202810921,0
57208,farschviller,57450,49.0904845084,6.88423747593,0
57209,faulquemont,57380,49.0355163236,6.59404999138,0
57221,florange,57190,49.3281938982,6.12282167584,0
57226,fontoy,57650,49.3577138097,5.99679227022,0
57227,forbach,57600,49.1912650369,6.89275798526,0
57237,fremestroff,57660,49.0147605301,6.7854856374,0
57238,fresnes en saulnois,57170,48.8388411221,6.4401167651,0
57244,garrebourg,57820,48.7083515564,7.23712179882,0
57246,gelucourt,57260,48.7612241027,6.73734826884,1
57247,gerbecourt,57170,48.8513266231,6.51598424383,1
57249,glatigny,57530,49.1419722137,6.34765231325,0
57252,gomelange,57220,49.2385076599,6.46140268813,0
57253,gondrexange,57815,48.6916242352,6.90768275556,0
57254,gorze,57680,49.058023805,5.99129893078,0
57257,gremecey,57170,48.810894347,6.41142526055,0
57263,grundviller,57510,49.0488850629,6.98394214677,0
57268,guebling,57260,48.8674293239,6.73710242043,0
57276,guinglange,57690,49.070677409,6.51711375375,0
57282,hagen,57570,49.4968460062,6.16553316474,0
57298,harreberg,57870,48.6629610218,7.17414816773,0
57306,hayange,57700,49.330858891,6.06649233507,0
57315,henridorff,57820,48.7328010132,7.21130656264,0
57320,hertzing,57830,48.6915281748,6.95434783679,0
57322,hestroff,57320,49.2636097823,6.42936599156,0
57331,hombourg budange,57920,49.2875134564,6.35579703436,0
57337,hoste,57510,49.0579657478,6.86138197129,0
57345,inglange,57970,49.3455744089,6.30036423785,0
57349,jallaucourt,57590,48.8346271223,6.39461777056,1
57354,juville,57590,48.9306249062,6.3588020815,0
57358,kedange sur canner,57920,49.3109453426,6.343428905,0
57362,kerprich aux bois,57830,48.7366040636,6.96003815781,0
57370,koenigsmacker,57970,49.3882172495,6.28617286599,0
57376,lambach,57410,49.0299766365,7.36427689294,0
57383,languimberg,57810,48.7303158689,6.87777720328,0
57399,lezey,57630,48.7576127729,6.62184289204,0
57422,louvigny,57420,48.9608362772,6.18259042823,0
57423,lubecourt,57170,48.8436629279,6.51001272581,1
57431,maizeroy,57530,49.0861603474,6.38860795137,0
57453,maxstadt,57660,49.0463550894,6.80405802458,0
57456,meisenthal,57960,48.9707983496,7.34611209492,0
57461,metairies st quirin,57560,48.6404358674,7.03770343075,0
57466,metzing,57980,49.0993204165,6.96137313836,0
57474,mondelange,57300,49.2630401785,6.17244194206,0
57478,montdidier,57670,48.9328455067,6.81546576999,0
57482,ogy montoy flanville,57530,49.120451502,6.2888126818,0
57485,morville les vic,57170,48.8153269864,6.54720214247,0
57488,moussey,57770,48.6714459538,6.77870838226,0
57489,mouterhouse,57620,48.9903559218,7.43839841263,0
57499,neufgrange,57910,49.0746513432,7.06686266439,-1
57500,neufmoulins,57830,48.6801953438,6.97253040466,-1
57509,nitting,57790,48.6617122731,7.0490425095,0
57511,norroy le veneur,57140,49.179562869,6.11099249211,0
57514,nousseviller st nabor,57990,49.1292618087,6.97126269237,0
57517,obergailbach,57720,49.1140388578,7.22339792872,0
57527,orny,57420,49.0303467553,6.24889661293,0
57536,petit tenquin,57660,48.9884543081,6.86904472208,-1
57573,rening,57670,48.9496511765,6.8430392125,0
57584,rimling,57720,49.0931477366,7.25838170063,0
57588,rodemack,57570,49.4637445576,6.24710550815,0
57589,rohrbach les bitche,57410,49.0408635757,7.27733357043,0
57604,rustroff,57480,49.4414794169,6.37625718945,0
57615,st jean rohrbach,57510,49.026412081,6.87942935113,0
